matchId,blueTeamControlWardsPlaced,blueTeamWardsPlaced,blueTeamTotalKills,blueTeamDragonKills,blueTeamHeraldKills,blueTeamTowersDestroyed,blueTeamInhibitorsDestroyed,blueTeamTurretPlatesDestroyed,blueTeamFirstBlood,blueTeamMinionsKilled,blueTeamJungleMinions,blueTeamTotalGold,blueTeamXp,blueTeamTotalDamageToChamps,redTeamControlWardsPlaced,redTeamWardsPlaced,redTeamTotalKills,redTeamDragonKills,redTeamHeraldKills,redTeamTowersDestroyed,redTeamInhibitorsDestroyed,redTeamTurretPlatesDestroyed,redTeamMinionsKilled,redTeamJungleMinions,redTeamTotalGold,redTeamXp,redTeamTotalDamageToChamps,blueWin,diffMinionsKilled,diffJungleMinions,diffTotalGold,diffTotalKills,diffXp,diffTotalDamageToChamps,diffDragonKills,diffHeraldKills,diffTowersDestroyed,diffInhibitorsDestroyed,diffTurretPlatesDestroyed
EUW1_6880972212',3,41,15,0,0,1,0,11,0,385,80,30089,31246,33555,5,25,16,1,0,1,0,6,348,92,28283,30780,27613,1,37,-12,1806,-1,466,5942,-1,0,0,0,5
EUW1_6880905919',3,21,11,1,0,0,0,6,1,392,95,27039,30485,28629,7,33,8,0,0,1,0,0,391,80,25187,28590,25327,0,1,15,1852,3,1895,3302,1,0,-1,0,6
EUW1_6880887817',6,26,13,0,0,0,0,16,0,288,80,25462,24315,28391,6,29,19,2,0,3,0,1,335,88,32124,30600,38322,0,-47,-8,-6662,-6,-6285,-9931,-2,0,-3,0,15
EUW1_6880876517',2,22,16,0,0,1,0,10,1,320,93,29822,28329,43252,7,76,17,2,1,1,0,5,331,102,30493,28801,42525,0,-11,-9,-671,-1,-472,727,-2,-1,0,0,5
EUW1_6880857669',2,64,16,0,0,1,0,8,1,324,71,28823,29780,31919,2,62,4,2,0,1,0,5,382,113,25049,29202,27762,0,-58,-42,3774,12,578,4157,-2,0,0,0,3
EUW1_6879724981',4,32,16,1,0,0,0,13,1,363,104,29199,29438,31805,0,24,16,0,0,2,0,4,382,74,30628,30333,32670,1,-19,30,-1429,0,-895,-865,1,0,-2,0,9
EUW1_6879641249',2,56,9,1,0,0,0,8,0,381,68,26474,28920,25939,3,70,10,0,0,1,0,3,386,67,26720,29258,24849,0,-5,1,-246,-1,-338,1090,1,0,-1,0,5
EUW1_6879605389',3,32,19,1,0,0,0,15,0,331,78,30883,29339,37066,3,31,19,1,0,4,0,3,369,90,33574,29832,41016,0,-38,-12,-2691,0,-493,-3950,0,0,-4,0,12
EUW1_6879548140',4,33,6,0,0,0,0,9,0,398,87,25015,29196,21215,7,29,10,2,0,0,0,3,405,108,27455,31539,29113,0,-7,-21,-2440,-4,-2343,-7898,-2,0,0,0,6
EUW1_6879516026',7,37,18,1,0,2,0,7,1,336,83,31541,30003,36318,2,33,17,0,0,1,0,9,322,83,28105,27953,40786,1,14,0,3436,1,2050,-4468,1,0,1,0,-2
EUW1_6879477830',4,42,16,1,0,0,0,15,1,366,77,27962,28060,32946,4,27,16,0,0,1,0,1,379,83,30226,29232,32441,0,-13,-6,-2264,0,-1172,505,1,0,-1,0,14
EUW1_6879416454',4,26,7,0,0,0,0,10,1,369,94,24527,28897,22761,2,22,14,1,0,0,0,0,427,78,29210,32530,31309,0,-58,16,-4683,-7,-3633,-8548,-1,0,0,0,10
EUW1_6879395202',1,48,17,1,0,2,0,3,1,395,92,30724,31640,35107,4,33,7,0,0,0,0,11,337,81,23539,26465,25721,1,58,11,7185,10,5175,9386,1,0,2,0,-8
EUW1_6878727750',4,22,14,1,0,1,0,16,1,333,90,28970,28972,34610,3,28,17,1,0,2,0,5,331,97,30415,30674,38893,0,2,-7,-1445,-3,-1702,-4283,0,0,-1,0,11
EUW1_6878668033',3,29,10,0,0,1,0,10,1,364,114,27243,29557,30583,1,29,6,1,0,1,0,3,368,84,26254,29297,28251,1,-4,30,989,4,260,2332,-1,0,0,0,7
EUW1_6878594652',3,34,13,0,1,1,0,13,0,351,94,28701,31138,29472,4,27,19,2,0,1,0,3,382,93,30421,31086,35746,1,-31,1,-1720,-6,52,-6274,-2,1,0,0,10
EUW1_6883426016',6,131,16,2,0,1,0,18,0,348,90,29738,30344,43204,3,36,15,0,0,3,0,5,324,109,30173,29032,36531,1,24,-19,-435,1,1312,6673,2,0,-2,0,13
EUW1_6882923538',2,35,9,0,0,0,0,13,0,295,93,24770,24765,22111,2,28,15,2,0,4,0,1,393,93,31766,29997,30645,0,-98,0,-6996,-6,-5232,-8534,-2,0,-4,0,12
EUW1_6882415490',2,26,28,0,0,4,0,6,1,356,89,35856,31009,43704,1,40,5,0,0,1,0,9,312,48,21666,24770,21042,1,44,41,14190,23,6239,22662,0,0,3,0,-3
EUW1_6882392893',5,26,10,0,0,0,0,9,0,298,75,24936,27994,30518,3,71,17,2,0,2,0,3,382,85,30790,31950,33046,0,-84,-10,-5854,-7,-3956,-2528,-2,0,-2,0,6
EUW1_6881540057',2,30,15,0,0,1,0,12,1,355,72,30990,28496,36875,1,53,27,1,0,2,0,8,331,70,32143,29523,47029,0,24,2,-1153,-12,-1027,-10154,-1,0,-1,0,4
EUW1_6881474931',4,32,17,2,1,0,0,12,1,373,98,28812,31413,33243,2,23,6,0,0,1,0,2,366,106,25883,29599,24076,0,7,-8,2929,11,1814,9167,2,1,-1,0,10
EUW1_6881140491',6,25,10,0,0,0,0,11,1,360,73,25579,28429,29716,4,30,13,1,0,1,0,1,336,77,27011,29406,36277,0,24,-4,-1432,-3,-977,-6561,-1,0,-1,0,10
EUW1_6881049630',4,25,10,1,0,0,0,12,1,353,97,25945,28293,26426,3,23,17,1,0,2,0,3,364,94,31250,29319,36640,1,-11,3,-5305,-7,-1026,-10214,0,0,-2,0,9
EUW1_6881015899',6,29,20,0,0,2,0,8,1,351,95,32366,30873,36347,5,30,16,2,0,0,0,5,281,84,27767,28265,32962,1,70,11,4599,4,2608,3385,-2,0,2,0,3
EUW1_6880971360',3,58,15,0,1,1,0,3,0,397,84,29875,32018,27894,2,80,17,1,0,0,0,7,330,108,28318,29712,29103,1,67,-24,1557,-2,2306,-1209,-1,1,1,0,-4
EUW1_6880953683',4,28,14,0,0,2,0,10,1,397,82,29847,31712,34977,1,22,8,2,0,1,0,2,281,124,25458,29197,23189,1,116,-42,4389,6,2515,11788,-2,0,1,0,8
EUW1_6880919285',0,21,19,0,1,0,0,13,0,382,103,32307,33898,32517,0,25,5,1,0,3,0,7,364,108,23764,29005,24412,1,18,-5,8543,14,4893,8105,-1,1,-3,0,6
EUW1_6880708911',4,31,10,1,0,0,0,6,0,305,93,26084,28809,30556,1,20,12,0,0,1,0,3,364,70,26633,30084,31374,1,-59,23,-549,-2,-1275,-818,1,0,-1,0,3
EUW1_6880677044',3,34,8,0,0,0,0,13,0,320,83,25239,27427,18256,5,22,13,2,1,2,0,3,392,106,29158,32194,27962,0,-72,-23,-3919,-5,-4767,-9706,-2,-1,-2,0,10
EUW1_6880486949',3,30,9,0,0,1,0,13,0,360,86,27807,29637,35630,3,39,14,2,0,0,0,5,356,77,26856,28774,36924,1,4,9,951,-5,863,-1294,-2,0,1,0,8
EUW1_6880419347',3,26,11,0,0,0,0,7,1,357,85,26748,29593,30634,4,25,13,2,0,0,0,6,361,77,28045,29200,35500,0,-4,8,-1297,-2,393,-4866,-2,0,0,0,1
EUW1_6880357829',4,296,18,1,0,1,0,5,1,330,102,30332,29335,42236,2,24,11,1,0,0,0,3,336,77,25573,28227,33802,0,-6,25,4759,7,1108,8434,0,0,1,0,2
EUW1_6880291602',3,130,8,1,1,2,0,7,1,354,102,27142,27158,21067,2,27,5,1,0,1,0,9,373,146,25451,30933,15583,0,-19,-44,1691,3,-3775,5484,0,1,1,0,-2
EUW1_6879986819',5,43,12,1,0,1,0,9,0,376,112,27806,30680,31850,3,29,9,1,0,0,0,6,319,84,24333,26162,25025,1,57,28,3473,3,4518,6825,0,0,1,0,3
EUW1_6879774455',5,24,15,1,0,0,0,10,0,327,87,30034,29347,39010,6,31,19,1,0,2,0,5,316,88,29935,30029,36217,1,11,-1,99,-4,-682,2793,0,0,-2,0,5
EUW1_6879533217',4,132,8,1,0,0,0,16,0,331,85,25095,29201,26084,3,19,15,1,0,1,0,1,369,86,29702,30939,35179,0,-38,-1,-4607,-7,-1738,-9095,0,0,-1,0,15
EUW1_6879504011',7,28,13,0,1,1,0,8,0,372,91,28480,29160,26943,4,27,11,2,0,0,0,4,314,98,25647,26366,24090,0,58,-7,2833,2,2794,2853,-2,1,1,0,4
EUW1_6879473510',1,27,10,1,0,2,0,9,1,349,103,27923,29440,32017,4,31,10,0,0,0,0,6,309,84,24310,29092,26201,1,40,19,3613,0,348,5816,1,0,2,0,3
EUW1_6879429807',2,46,5,1,0,1,0,6,0,338,93,24950,27940,23259,1,23,12,1,0,1,0,6,353,76,26290,27083,30552,1,-15,17,-1340,-7,857,-7293,0,0,0,0,0
EUW1_6879415577',2,39,12,0,0,1,0,6,0,390,83,29959,30078,27214,5,24,8,1,0,1,0,3,379,76,25515,28898,19860,1,11,7,4444,4,1180,7354,-1,0,0,0,3
EUW1_6879369009',2,23,13,1,0,1,0,9,1,365,98,29322,31023,30611,1,24,14,1,0,1,0,7,336,97,28449,30575,28669,1,29,1,873,-1,448,1942,0,0,0,0,2
EUW1_6879362596',3,27,12,0,0,0,0,13,0,291,65,25970,26494,32316,7,29,23,2,0,2,0,1,367,90,32924,32434,44800,0,-76,-25,-6954,-11,-5940,-12484,-2,0,-2,0,12
EUW1_6879328443',2,25,13,0,0,1,0,8,1,343,84,27915,29099,36849,5,50,13,2,0,0,0,1,303,80,26328,27406,36512,0,40,4,1587,0,1693,337,-2,0,1,0,7
EUW1_6879320011',4,34,8,0,0,0,0,8,0,347,96,25557,29068,30025,4,49,14,2,0,1,0,1,382,82,28082,31410,28489,0,-35,14,-2525,-6,-2342,1536,-2,0,-1,0,7
EUW1_6878045943',2,27,13,1,0,1,0,15,1,343,73,28068,29030,35529,2,25,19,1,0,2,0,3,338,98,30612,32041,38761,0,5,-25,-2544,-6,-3011,-3232,0,0,-1,0,12
EUW1_6878001527',3,26,11,0,0,0,0,8,0,329,94,26491,29961,29885,6,100,6,2,1,1,0,4,362,80,24810,28461,28493,1,-33,14,1681,5,1500,1392,-2,-1,-1,0,4
